dataset,L2,DTWb,DTWf,Multi,HV-MOTS
50Words,3.690000,2.420000,3.100000,2.797360,2.599120
Adiac,3.890000,3.910000,3.960000,3.615380,2.974360
ARSim,4.860000,4.430000,4.430000,0.000000,0.000000
Beef,4.670000,4.670000,5.000000,3.103450,3.448280
CBF,1.480000,0.040000,0.030000,0.111230,0.055620
Chlorine,3.500000,3.500000,3.520000,3.357650,3.357650
CinECG,1.030000,0.700000,3.490000,0.601890,0.297320
Coffee,2.500000,1.790000,1.790000,0.370370,0.370370
Cricket_X,4.260000,2.360000,2.230000,2.133680,2.313620
Cricket_Y,3.560000,1.970000,2.080000,2.210800,1.928020
Cricket_Z,3.800000,1.800000,2.080000,2.390750,2.339330
DiatomSize,0.650000,0.650000,0.330000,0.459020,0.491800
ECG200,1.200000,1.200000,2.300000,1.717170,1.717170
ECGFiveDays,2.030000,2.030000,2.320000,0.290700,0.546510
FaceAll,2.860000,1.920000,1.920000,2.024870,2.084070
FaceFour,2.160000,1.140000,1.700000,0.689660,0.459770
FacesUCR,2.310000,0.880000,0.950000,0.366030,0.434360
Fish,2.170000,1.600000,1.670000,0.804600,0.804600
Gun_Point,0.870000,0.870000,0.930000,0.872480,0.067110
Haptics,6.300000,5.880000,6.230000,5.732900,5.504890
InlineSkate,6.580000,6.130000,6.160000,5.573770,5.555560
ItalyPower,0.450000,0.450000,0.500000,0.418290,0.408560
Lighting2,2.460000,1.310000,1.310000,1.833330,1.166670
Lighting7,4.250000,2.880000,2.740000,3.055560,2.638890
MALLAT,0.860000,0.860000,0.660000,0.810580,0.610070
MedicalImages,3.160000,2.530000,2.630000,2.832670,2.648220
MoteStrain,1.210000,1.340000,1.650000,1.622700,1.598720
NonInv_ECG1,1.710000,1.850000,2.090000,1.776990,1.598780
NonInv_ECG2,1.200000,1.290000,1.350000,1.120160,1.048880
OliveOil,1.330000,1.670000,1.330000,1.034480,1.034480
OSULeaf,4.830000,3.840000,4.090000,2.531120,2.116180
SonyAIBO1,3.050000,3.050000,2.750000,3.133330,3.483330
SonyAIBO2,1.410000,1.410000,1.690000,1.596640,1.901260
StarLight,1.510000,0.950000,0.930000,0.924100,0.692170
SwedishLeaf,2.130000,1.570000,2.100000,1.137820,0.913460
Symbols,1.000000,0.620000,0.500000,0.492960,0.442660
Synthetic,1.200000,0.170000,0.070000,0.334450,0.334450
Trace,2.400000,0.100000,0.000000,0.101010,0.000000
Two_Patterns,0.900000,0.010000,0.000000,0.000000,0.005000
TwoLeadECG,2.530000,1.320000,0.960000,1.230230,1.572930
uWGestureX,2.610000,2.270000,2.730000,2.504890,2.354090
uWGestureY,3.380000,3.010000,3.660000,3.348230,3.334260
uWGestureZ,3.500000,3.220000,3.420000,3.325890,3.057810
Wafer,0.050000,0.050000,0.200000,0.045430,0.034070
WordsSynonyms,3.820000,2.520000,3.510000,3.233910,3.233910
Yoga,1.700000,1.550000,1.640000,1.497170,1.497170
