.	L1	L2	LI	LP	ERP	EDR	LCSS	DTW	OSB	FFT(L2)	FFT(DTW)	ACF(L2)	ACF(DTW)	CDM
L1	0	7037	7935	7164	7014	5901	6886	7465	6955	7386	6830	6340	6634	7700
L2	7037	0	8181	6997	6922	5824	6786	7265	6840	7152	6679	5978	6235	7373
LI	7935	8181	0	7878	7894	6963	7683	8475	8152	8125	7559	7303	7461	8159
LP	7164	6997	7878	0	7007	5900	6845	7382	6929	7381	6739	6344	6657	7779
ERP	7014	6922	7894	7007	0	5939	6969	7493	6824	6946	6840	6298	6521	7786
EDR	5901	5824	6963	5900	5939	0	5889	6140	5755	5941	5531	4930	5272	6222
LCSS	6886	6786	7683	6845	6969	5889	0	7318	6737	6957	6788	6186	6413	7553
DTW	7465	7265	8475	7382	7493	6140	7318	0	7233	7351	7002	6285	6485	7569
OSB	6955	6840	8152	6929	6824	5755	6737	7233	0	7107	6618	5934	6198	7327
FFT(L2)	7386	7152	8125	7381	6946	5941	6957	7351	7107	0	6769	6246	6622	7424
FFT(DTW)	6830	6679	7559	6739	6840	5531	6788	7002	6618	6769	0	5784	5918	6671
ACF(L2)	6340	5978	7303	6344	6298	4930	6186	6285	5934	6246	5784	0	5776	7027
ACF(DTW)	6634	6235	7461	6657	6521	5272	6413	6485	6198	6622	5918	5776	0	7360
CDM	7700	7373	8159	7779	7786	6222	7553	7569	7327	7424	6671	7027	7360	0
